DATA_DATE,VALUE,ROLLING_MAX_12M,ROLLING_MIN_12M
2020-09-22,3315.57,3580.84,2470.5
2020-09-23,3236.92,3580.84,2470.5
2020-09-24,3246.59,3580.84,2470.5
2020-09-25,3298.46,3580.84,2470.5
2020-09-28,3351.6,3580.84,2470.5
2020-09-29,3335.47,3580.84,2470.5
2020-09-30,3363.0,3580.84,2470.5
2020-10-01,3380.8,3580.84,2470.5
2020-10-02,3348.44,3580.84,2470.5
2020-10-05,3408.63,3580.84,2470.5
2020-10-06,3360.95,3580.84,2470.5
2020-10-07,3419.45,3580.84,2470.5
2020-10-08,3446.83,3580.84,2470.5
2020-10-09,3477.13,3580.84,2470.5
2020-10-12,3534.22,3580.84,2470.5
2020-10-13,3511.93,3580.84,2470.5
2020-10-14,3488.67,3580.84,2470.5
2020-10-15,3483.34,3580.84,2470.5
2020-10-16,3483.81,3580.84,2470.5
2020-10-19,3426.92,3580.84,2470.5
2020-10-20,3443.12,3580.84,2470.5
2020-10-21,3435.56,3580.84,2470.5
2020-10-22,3453.49,3580.84,2470.5
2020-10-23,3465.39,3580.84,2470.5
2020-10-26,3400.97,3580.84,2470.5
2020-10-27,3390.68,3580.84,2470.5
2020-10-28,3271.03,3580.84,2470.5
2020-10-29,3310.11,3580.84,2470.5
2020-10-30,3269.96,3580.84,2470.5
2020-11-02,3310.24,3580.84,2470.5
2020-11-03,3369.16,3580.84,2470.5
2020-11-04,3443.44,3580.84,2470.5
2020-11-05,3510.45,3580.84,2470.5
2020-11-06,3509.44,3580.84,2470.5
2020-11-09,3550.5,3580.84,2470.5
2020-11-10,3545.53,3580.84,2470.5
2020-11-11,3572.66,3580.84,2470.5
2020-11-12,3537.01,3580.84,2470.5
2020-11-13,3585.15,3585.15,2470.5
2020-11-16,3626.91,3626.91,2470.5
2020-11-17,3609.53,3626.91,2470.5
2020-11-18,3567.79,3626.91,2470.5
2020-11-19,3581.87,3626.91,2470.5
2020-11-20,3557.54,3626.91,2470.5
2020-11-23,3577.59,3626.91,2470.5
2020-11-24,3635.41,3635.41,2470.5
2020-11-25,3629.65,3635.41,2470.5
2020-11-26,,3635.41,2470.5
2020-11-27,3638.35,3638.35,2470.5
2020-11-30,3621.63,3638.35,2470.5
2020-12-01,3662.45,3662.45,2470.5
2020-12-02,3669.01,3669.01,2470.5
2020-12-03,3666.72,3669.01,2470.5
2020-12-04,3699.12,3699.12,2470.5
2020-12-07,3691.96,3699.12,2470.5
2020-12-08,3702.25,3702.25,2470.5
2020-12-09,3672.82,3702.25,2470.5
2020-12-10,3668.1,3702.25,2470.5
2020-12-11,3663.46,3702.25,2470.5
2020-12-14,3647.49,3702.25,2470.5
